governor.position,governor.word,governor.tag,governor.category,governors.parent.category,conjunction.word,conjunction.tag,coordination.category,coordinations.parent.category,antecedent.category,no.conjuncts,L.conjunct,L.category,L.head.word,L.head.tag,L.head.category,L.words,L.tokens,L.syllables,L.chars,R.conjunct,R.category,R.head.word,R.head.tag,R.head.category,R.words,R.tokens,R.syllables,R.chars,sentence,sent_id,double.governor
0,,,,,",",interp,zdanie,wypowiedzenie,,2,Adam wspaniale tańczył,zdanie,tańczył,praet:sg:m1:imperf,formaczas,3,3,7,22,okazywał Edycie dużo zainteresowania,zdanie,okazywał,praet:sg:m1:imperf,formaczas,4,4,16,36,"Adam wspaniale tańczył, okazywał Edycie dużo zainteresowania.",NKJP_1M_3302000005/morph_4-p/morph_4.43-s,
0,,,,,i,conj,zdanie,wypowiedzenie,,3,Potem szli na romantyczny spacer,zdanie,szli,praet:pl:m1:imperf,formaczas,5,5,10,32,całowali,zdanie,całowali,praet:pl:m1:imperf,formaczas,1,1,4,8,"Potem szli na romantyczny spacer, przytulali się i całowali.",NKJP_1M_3302000005/morph_4-p/morph_4.70-s,
0,,,,,",",interp,zdanie,wypowiedzenie,,3,Często chodzili do pubu,zdanie,chodzili,praet:pl:m1:imperf,formaczas,4,4,8,23,rozmawiali,zdanie,rozmawiali,praet:pl:m1:imperf,formaczas,1,1,4,10,"Często chodzili do pubu, pili piwo, rozmawiali.",NKJP_1M_3302000005/morph_4-p/morph_4.59-s,
0,,,,,a,conj,zdanie,wypowiedzenie,,2,Wcześniejsze zapowiedzi o przejściu bramkarza Feyenoordu do Manchesteru United się nie sprawdziły,zdanie,sprawdziły,praet:pl:f:perf,formaczas,12,12,30,97,obecnie Dudkiem zainteresowana jest też Barcelona,zdanie,jest,fin:sg:ter:imperf,formaczas,6,6,18,49,"Wcześniejsze zapowiedzi o przejściu bramkarza Feyenoordu do Manchesteru United się nie sprawdziły, a obecnie Dudkiem zainteresowana jest też Barcelona.",NKJP_1M_1305000000252/morph_1-p/morph_1.21-s,
0,,,,,i,conj,zdanie,wypowiedzenie,,2,Ofiara miała przy sobie polski paszport,zdanie,miała,praet:sg:f:imperf,formaczas,6,6,12,39,dzięki temu łatwo ją zidentyfikowano,zdanie,zidentyfikowano,imps:perf,formaczas,5,5,14,36,Ofiara miała przy sobie polski paszport i dzięki temu łatwo ją zidentyfikowano.,NKJP_1M_1305000000777/morph_1-p/morph_1.40-s,
L,kobietom,subst:pl:dat:f,formarzecz,fno,i,conj,fpt,fno,fno,2,zwabionym,fpt,zwabionym,ppas:pl:dat:f:perf:aff,formaprzym,1,1,3,9,przymuszanym do nierządu,fpt,przymuszanym,ppas:pl:dat:f:imperf:aff,formaprzym,3,3,8,24,"Zazwyczaj młodym kobietom z zagranicy, zwabionym i przymuszanym do nierządu, sutenerzy odbierają paszporty.",NKJP_1M_1305000000777/morph_1-p/morph_1.56-s,
L,O,prep:loc,przyimek,fpm,i,conj,fno,fno,fpm,2,motywach,fno,motywach,subst:pl:loc:m3,formarzecz,1,1,3,8,innych okolicznościach,fno,okolicznościach,subst:pl:loc:f,formarzecz,2,2,7,22,O motywach i innych okolicznościach zbrodni na razie nic nie wiadomo.,NKJP_1M_1305000000777/morph_1-p/morph_1.27-s,
L,że,comp,spójnik,fzd,a,conj,zdanie,fzd,fzd,2,ruch towarowy praktycznie się nie odbywał,zdanie,odbywał,praet:sg:m3:imperf,formaczas,6,6,13,41,na Śląsku stanęło wiele pociągów pasażerskich,zdanie,stanęło,praet:sg:n:perf,formaczas,6,6,15,45,"Oceniając strajk, Gawin oświadczył, że ruch towarowy praktycznie się nie odbywał, a na Śląsku stanęło wiele pociągów pasażerskich.",NKJP_1M_1305000001001/morph_1-p/morph_1.68-s,
L,sprawie,subst:sg:loc:f,formarzecz,fno,oraz,conj,fno,fno,fno,2,modelu PKP i przyszłych przekształceń kolei,fno,i,conj,spójnik,6,6,15,43,dalszych rozmów z nimi,fno,rozmów,subst:pl:gen:f,formarzecz,4,4,7,22,"Związkowcy podkreślili jednak, że mają gwarancje ministra w sprawie modelu PKP i przyszłych przekształceń kolei oraz dalszych rozmów z nimi.",NKJP_1M_1305000001001/morph_1-p/morph_1.41-s,
R,oraz,conj,spójnik,fno,i,conj,fno,fno,fno,2,modelu PKP,fno,modelu,subst:sg:gen:m3,formarzecz,2,2,6,10,przyszłych przekształceń kolei,fno,przekształceń,subst:pl:gen:n,formarzecz,3,3,8,30,"Związkowcy podkreślili jednak, że mają gwarancje ministra w sprawie modelu PKP i przyszłych przekształceń kolei oraz dalszych rozmów z nimi.",NKJP_1M_1305000001001/morph_1-p/morph_1.41-s,
L,wobec,prep:gen,przyimek,fpm,i,conj,fno,fno,fpm,2,pracowników,fno,pracowników,subst:pl:gen:m1,formarzecz,1,1,4,11,funkcjonariuszy,fno,funkcjonariuszy,subst:pl:gen:m1,formarzecz,1,1,5,15,Postępowania w takich sprawach wobec pracowników i funkcjonariuszy zatrudnionych w Generalnym Inspektoracie Celnym przejmuje rzecznik dyscyplinarny i komisja dyscyplinarna Ministerstwa Finansów.,NKJP_1M_6101000584/morph_1-p/morph_1.65-s,
L,przejmuje,fin:sg:ter:imperf,formaczas,fwe,i,conj,fno,fw,zdanie,2,rzecznik dyscyplinarny,fno,rzecznik,subst:sg:nom:m1,formarzecz,2,2,7,22,komisja dyscyplinarna Ministerstwa Finansów,fno,komisja,subst:sg:nom:f,formarzecz,4,4,15,43,Postępowania w takich sprawach wobec pracowników i funkcjonariuszy zatrudnionych w Generalnym Inspektoracie Celnym przejmuje rzecznik dyscyplinarny i komisja dyscyplinarna Ministerstwa Finansów.,NKJP_1M_6101000584/morph_1-p/morph_1.65-s,
L,oznajmił,praet:sg:m1:perf,formaczas,fwe,i,conj,fzd,fw,fwe,2,", że jedna z uwięzionych mamek umarła z głodu",fzd,że,comp,spójnik,9,9,17,45,że zostało ich już tylko czterdzieści osiem,fzd,że,comp,spójnik,7,7,13,43,"Lecz w tym momencie drugi sekretarz Głowy podszedł do niej i oznajmił lekkim swędem, że jedna z uwięzionych mamek umarła z głodu i że zostało ich już tylko czterdzieści osiem.",NKJP_1M_2002000082/morph_3-p/morph_3.62-s,
L,Lecz,conj,spójnik,wypowiedzenie,i,conj,fwe,ff,wypowiedzenie,2,podszedł do niej,fwe,podszedł,praet:sg:m1:perf,formaczas,3,3,4,16,"oznajmił lekkim swędem, że jedna z uwięzionych mamek umarła z głodu i że zostało ich już tylko czterdzieści osiem",fwe,oznajmił,praet:sg:m1:perf,formaczas,19,20,37,113,"Lecz w tym momencie drugi sekretarz Głowy podszedł do niej i oznajmił lekkim swędem, że jedna z uwięzionych mamek umarła z głodu i że zostało ich już tylko czterdzieści osiem.",NKJP_1M_2002000082/morph_3-p/morph_3.62-s,
0,,,,,i,conj,zdanie,wypowiedzenie,,4,Poszłem,zdanie,Poszł~em,praet:sg:m1:perf~aglt:sg:pri:imperf:wok,formaczas,1,2,2,7,zostałem,zdanie,został~em,praet:sg:m1:perf~aglt:sg:pri:imperf:wok,formaczas,1,2,3,8,"- Poszłem, nie doszłem, przyszłem i zostałem.",NKJP_1M_1202000010/morph_70-p/morph_70.24-s,
0,,,,,",",interp,zdanie,wypowiedzenie,,3,Weź pilota,zdanie,Weź,impt:sg:sec:perf,formaczas,2,2,4,10,niech się nie miota,zdanie,miota,fin:sg:ter:imperf,formaczas,4,4,5,19,"- Weź pilota, wyłącz kmiota, niech się nie miota.",NKJP_1M_1202000010/morph_70-p/morph_70.36-s,
0,,,,,i,conj,zdanie,wypowiedzenie,,2,Znów są na schodach,zdanie,są,fin:pl:ter:imperf,formaczas,4,4,5,19,po chwili wszystko się uspokaja,zdanie,uspokaja,fin:sg:ter:imperf,formaczas,5,5,10,31,Znów są na schodach i po chwili wszystko się uspokaja.,NKJP_1M_1202000010/morph_16-p/morph_16.83-s,
0,,,,,",",interp,zdanie,wypowiedzenie,,2,Wstaję,zdanie,Wstaję,fin:sg:pri:imperf,formaczas,1,1,2,6,wyglądam przez okno,zdanie,wyglądam,fin:sg:pri:imperf,formaczas,3,3,6,19,"Wstaję, wyglądam przez okno.",NKJP_1M_1202000010/morph_16-p/morph_16.6-s,
0,,,,,i,conj,fwe,ff,,2,Dwoisz się,fwe,Dwoisz,fin:sg:sec:imperf,formaczas,2,2,3,10,troisz,fwe,troisz,fin:sg:sec:imperf,formaczas,1,1,2,6,"Dwoisz się i troisz, aby rozwiązać kilkadziesiąt praktycznych problemów równocześnie.",NKJP_1M_1202000010/morph_106-p/morph_106.56-s,
0,,,,,",",interp,zdanie,wypowiedzenie,,2,Jesteś impulsywna,zdanie,Jesteś,fin:sg:sec:imperf,formaczas,2,2,6,17,bardzo żywo na wszystko reagujesz,zdanie,reagujesz,fin:sg:sec:imperf,formaczas,5,5,11,33,"Jesteś impulsywna, bardzo żywo na wszystko reagujesz.",NKJP_1M_1202000010/morph_106-p/morph_106.44-s,
L,że,comp,spójnik,fzd,i,conj,zdanie,fzd,fzd,2,jego rząd uzależnia przystąpienie NRF do układu od szeregu warunków,zdanie,uzależnia,fin:sg:ter:imperf,formaczas,10,10,25,67,w ogóle odkłada ten problem na nieokreślony termin,zdanie,odkłada,fin:sg:ter:imperf,formaczas,8,8,18,50,"Kanclerz Kiesinger wyraźnie oświadczył, że jego rząd uzależnia przystąpienie NRF do układu od szeregu warunków i w ogóle odkłada ten problem na nieokreślony termin.",NKJP_1M_1202000010/morph_98-p/morph_98.47-s,
0,,,,,a,conj,zdanie,wypowiedzenie,,2,Wielka Rada zbierała się już ponad dwadzieścia lat,zdanie,zbierała,praet:sg:f:imperf,formaczas,8,8,15,50,nigdy nie doszło na niej do głosowania,zdanie,doszło,praet:sg:n:perf,formaczas,7,7,12,38,"Wielka Rada zbierała się już ponad dwadzieścia lat, a nigdy nie doszło na niej do głosowania...",NKJP_1M_1202000010/morph_73-p/morph_73.69-s,
L,dziełami,subst:pl:inst:n,formarzecz,fno,i,conj,fno,fno,fno,2,Chagalla,fno,Chagalla,subst:sg:gen:m1,formarzecz,1,1,3,8,Modiglianiego,fno,Modiglianiego,subst:sg:gen:m1,formarzecz,1,1,5,13,"Składając wyjaśnienia w śledztwie Marko T. utrzymywał, iż Wincenty S. zapewnił go, iż obrazy są oryginalnymi dziełami Chagalla i Modiglianiego, czemu malarz od pierwszej chwili śledztwa przeczył z całą stanowczością.",NKJP_1M_1202000010/morph_108-p/morph_108.36-s,
L,iż,comp,spójnik,fzd,",",interp,zdanie,fzd,fzd,2,"Wincenty S. zapewnił go, iż obrazy są oryginalnymi dziełami Chagalla i Modiglianiego",zdanie,zapewnił,praet:sg:m1:perf,formaczas,12,14,31,84,czemu malarz od pierwszej chwili śledztwa przeczył z całą stanowczością,zdanie,przeczył,praet:sg:m1:imperf,formaczas,10,10,20,71,"Składając wyjaśnienia w śledztwie Marko T. utrzymywał, iż Wincenty S. zapewnił go, iż obrazy są oryginalnymi dziełami Chagalla i Modiglianiego, czemu malarz od pierwszej chwili śledztwa przeczył z całą stanowczością.",NKJP_1M_1202000010/morph_108-p/morph_108.36-s,
L,kopie,subst:pl:acc:f,formarzecz,fno,i,conj,fpt,fpt,fno,2,wartościowe,fpt,wartościowe,adj:pl:acc:f:pos,formaprzym,1,1,4,11,dobre,fpt,dobre,adj:pl:acc:f:pos,formaprzym,1,1,2,5,"Zapewniał, iż powiedział od razu cudzoziemcowi, iż obrazy stanowią jedynie kopie, zresztą w jego przekonaniu bardzo wartościowe i dobre.",NKJP_1M_1202000010/morph_108-p/morph_108.59-s,
0,,,,,i,conj,zdanie,wypowiedzenie,,2,Jest rok 1962,zdanie,Jest,fin:sg:ter:imperf,formaczas,3,3,11,13,USA wloką się wciąż ze swym programem rakietowym,zdanie,wloką,fin:pl:ter:imperf,formaczas,8,8,16,48,Jest rok 1962 i USA wloką się wciąż ze swym programem rakietowym.,NKJP_1M_1202000010/morph_79-p/morph_79.13-s,
L,z,prep:inst:nwok,przyimek,fpm,i,conj,fno,fpm,fpm,2,nazwiskamy agienciaków,fno,nazwiskamy,subst:pl:inst:n,formarzecz,2,2,8,22,data wypadku,fno,data,subst:sg:inst:f,formarzecz,2,2,5,12,W tej pieśni mamy wszystko detalicznie podane z nazwiskamy agienciaków i data wypadku.,NKJP_1M_1202000010/morph_29-p/morph_29.49-s,
L,naturą,subst:sg:inst:f,formarzecz,fno,",",interp,fpt,fno,fno,2,bardziej refleksyjną,fpt,refleksyjną,adj:sg:inst:f:pos,formaprzym,2,2,6,20,obowiązkową,fpt,obowiązkową,adj:sg:inst:f:pos,formaprzym,1,1,5,11,"Ty sama jesteś naturą bardziej refleksyjną, obowiązkową.",NKJP_1M_1202000010/morph_11-p/morph_11.45-s,
0,,,,,i,conj,fpt,fpt,,2,wąska,fpt,wąska,adj:sg:nom:f:pos,formaprzym,1,1,2,5,stroma,fpt,stroma,adj:sg:nom:f:pos,formaprzym,1,1,2,6,Taka wąska i stroma.,NKJP_1M_1202000010/morph_53-p/morph_53.61-s,
L,uznają,fin:pl:ter:imperf,formaczas,fwe,i,conj,fno,fno,zdanie,3,rozrywki,fno,rozrywki,subst:pl:acc:f,formarzecz,1,1,3,8,miłostki,fno,miłostki,subst:pl:acc:f,formarzecz,1,1,3,8,"Czujesz pogardę zmieszaną z niesmakiem dla dziewcząt, które uznają tylko rozrywki, zabawy i miłostki.",NKJP_1M_1202000010/morph_2-p/morph_2.55-s,
0,,,,,ale,conj,zdanie,wypowiedzenie,,2,"""Lekkie"" życie byłoby dla ciebie bardzo przyjemne",zdanie,by,qub,condaglt,7,10,15,49,uważasz je za niemożliwe,zdanie,uważasz,fin:sg:sec:imperf,formaczas,4,4,9,24,"""Lekkie"" życie byłoby dla ciebie bardzo przyjemne, ale uważasz je za niemożliwe.",NKJP_1M_1202000010/morph_2-p/morph_2.84-s,
L,odpowiadając,pcon:imperf,formaczas,fwe,",",interp,fpm,fw,fwe,2,na tysiąc wymagań chwili,fpm,na,prep:acc,przyimek,4,4,8,24,"na tysiąc ""okazji "", które się nadarzają",fpm,na,prep:acc,przyimek,7,9,14,40,"- Nie godzisz się z tym, żeby można przejść przez życie, nie odpowiadając na tysiąc wymagań chwili, na tysiąc ""okazji"", które się nadarzają.",NKJP_1M_1202000010/morph_2-p/morph_2.38-s,
R,troszczysz,fin:sg:sec:imperf,formaczas,fwe,i,conj,fpt,fl,zdanie,2,Chłodna,fpt,Chłodna,adj:sg:nom:f:pos,formaprzym,1,1,2,7,metodyczna,fpt,metodyczna,adj:sg:nom:f:pos,formaprzym,1,1,4,10,"Chłodna i metodyczna, troszczysz się bardzo o wypełnianie swych obowiązków.",NKJP_1M_1202000010/morph_2-p/morph_2.67-s,
0,,,,,i,conj,zdanie,wypowiedzenie,,2,Momentalnie zjeżyła się jej sierść,zdanie,zjeżyła,praet:sg:f:perf,formaczas,5,5,10,34,z groźnym pomrukiem gotowa była bronić swoich szczurząt,zdanie,była,praet:sg:f:imperf,formaczas,8,8,17,55,Momentalnie zjeżyła się jej sierść i z groźnym pomrukiem gotowa była bronić swoich szczurząt.,NKJP_1M_1202000010/morph_74-p/morph_74.56-s,
0,,,,,",",interp,zdanie,wypowiedzenie,,2,Należałoby się uczyć na cudzych błędach,zdanie,by,qub,condaglt,6,7,13,39,to znaczy na doświadczeniach krajów bogatszych i ich obecnych kłopotach z samochodem,zdanie,znaczy,fin:sg:ter:imperf,formaczas,12,12,26,84,"Należałoby się uczyć na cudzych błędach, to znaczy na doświadczeniach krajów bogatszych i ich obecnych kłopotach z samochodem.",NKJP_1M_1202000010/morph_27-p/morph_27.69-s,
L,na,prep:loc,przyimek,fpm,i,conj,fno,fpm,fpm,2,doświadczeniach krajów bogatszych,fno,doświadczeniach,subst:pl:loc:n,formarzecz,3,3,9,33,ich obecnych kłopotach z samochodem,fno,kłopotach,subst:pl:loc:m3,formarzecz,5,5,12,35,"Należałoby się uczyć na cudzych błędach, to znaczy na doświadczeniach krajów bogatszych i ich obecnych kłopotach z samochodem.",NKJP_1M_1202000010/morph_27-p/morph_27.69-s,
L,na,prep:acc,przyimek,fpm,",",interp,fno,fpm,fpm,4,drogi,fno,drogi,subst:pl:acc:f,formarzecz,1,1,2,5,sklepy,fno,sklepy,subst:pl:acc:m3,formarzecz,1,1,2,6,"Jakże mało zostałoby na drogi, zieleń, tereny dla dzieci, sklepy.",NKJP_1M_1202000010/morph_27-p/morph_27.48-s,
0,,,,,i,conj,zdanie,wypowiedzenie,,2,Interesanci spojrzeli we wskazanym kierunku,zdanie,spojrzeli,praet:pl:m1:perf,formaczas,5,5,15,43,oniemieli z radości,zdanie,oniemieli,praet:pl:m1:perf,formaczas,3,3,8,19,Interesanci spojrzeli we wskazanym kierunku i oniemieli z radości.,NKJP_1M_1202000010/morph_58-p/morph_58.16-s,
L,Ale,conj,spójnik,wypowiedzenie,",",interp,zdanie,wypowiedzenie,wypowiedzenie,2,jak się to stało,zdanie,stało,praet:sg:n:perf,formaczas,4,4,5,16,odebrali ście go złodziejom tak prędko,zdanie,odebrali~ście,praet:pl:m1:perf~aglt:pl:sec:imperf:nwok,formaczas,6,6,12,38,"- Ale jak się to stało, odebraliście go złodziejom tak prędko?",NKJP_1M_1202000010/morph_58-p/morph_58.63-s,
0,,,,,i,conj,zdanie,wypowiedzenie,,3,Nagle usłyszałem strzał,zdanie,usłyszał~em,praet:sg:m1:perf~aglt:sg:pri:imperf:wok,formaczas,3,4,7,23,zastałem trupa,zdanie,zastał~em,praet:sg:m1:perf~aglt:sg:pri:imperf:wok,formaczas,2,3,5,14,"Nagle usłyszałem strzał, wpadłem do warsztatu i zastałem trupa.",NKJP_1M_1202000010/morph_71-p/morph_71.51-s,
0,,,,,i,conj,zdanie,wypowiedzenie,,2,Wróciłem do biura,zdanie,Wrócił~em,praet:sg:m1:perf~aglt:sg:pri:imperf:wok,formaczas,3,4,6,17,natychmiast zadzwoniłem na policję,zdanie,zadzwonił~em,praet:sg:m1:perf~aglt:sg:pri:imperf:wok,formaczas,4,5,11,34,Wróciłem do biura i natychmiast zadzwoniłem na policję.,NKJP_1M_1202000010/morph_71-p/morph_71.72-s,
0,,,,,i,conj,zdanie,wypowiedzenie,,2,Widocznie ktoś otworzył drzwi od ulicy,zdanie,otworzył,praet:sg:m1:perf,formaczas,6,6,12,38,zastrzelił Melmana,zdanie,zastrzelił,praet:sg:m1:perf,formaczas,2,2,6,18,Widocznie ktoś otworzył drzwi od ulicy i zastrzelił Melmana.,NKJP_1M_1202000010/morph_71-p/morph_71.61-s,
0,,,,,",",interp,zdanie,wypowiedzenie,,2,Mój wspólnik krzątał się koło niej,zdanie,krzątał,praet:sg:m1:imperf,formaczas,6,6,9,34,"ja wszedłem do pokoiku, gdzie mamy biuro",zdanie,wszedł~em,praet:sg:m1:perf~aglt:sg:pri:imperf:wok,formaczas,7,9,13,40,"Mój wspólnik krzątał się koło niej, ja wszedłem do pokoiku, gdzie mamy biuro.",NKJP_1M_1202000010/morph_71-p/morph_71.37-s,
L,świat,subst:sg:nom:m3,formarzecz,fno,a,conj,fzd,fno,fno,2,", który chcieliśmy urobić na podobieństwo swoje",fzd,chcieli~śmy,praet:pl:m1:imperf~aglt:pl:pri:imperf:nwok,formaczas,7,8,16,47,który nas formował boleśnie na wzór na szczęście niezupełnie swój i podobieństwo nie całkiem swoje,fzd,formował,praet:sg:m3:imperf,formaczas,15,15,29,98,"To był nasz świat, który chcieliśmy urobić na podobieństwo swoje, a który nas formował boleśnie na wzór na szczęście niezupełnie swój i podobieństwo nie całkiem swoje.",NKJP_1M_3102000012/morph_1-p/morph_1.30-s,
L,na,prep:acc,przyimek,fpm,i,conj,fno,fpm,fpm,2,wzór na szczęście niezupełnie swój,fno,wzór,subst:sg:acc:m3,formarzecz,5,5,9,34,podobieństwo nie całkiem swoje,fno,podobieństwo,subst:sg:acc:n,formarzecz,4,4,9,30,"To był nasz świat, który chcieliśmy urobić na podobieństwo swoje, a który nas formował boleśnie na wzór na szczęście niezupełnie swój i podobieństwo nie całkiem swoje.",NKJP_1M_3102000012/morph_1-p/morph_1.30-s,
0,,,,,i,conj,fwe,ff,,2,potępił terroryzm,fwe,potępił,praet:sg:m1:perf,formaczas,2,2,6,17,"ponownie zadeklarował bezwarunkową gotowość do negocjacji z Kremlem, by znaleźć polityczne rozwiązanie konfliktu",fwe,zadeklarował,praet:sg:m1:perf,formaczas,13,14,38,112,"Prezydent walczącej o niepodległość Czeczenii Asłan Maschadow potępił terroryzm i ponownie zadeklarował bezwarunkową gotowość do negocjacji z Kremlem, by znaleźć polityczne rozwiązanie konfliktu.",NKJP_1M_1305000000085/morph_1-p/morph_1.25-s,
R,odnosił,praet:sg:m1:imperf,formaczas,fwe,"zarówno..., jak",conj,fpm,fw,zdanie,2,do polityki,fpm,do,prep:gen,przyimek,2,2,5,11,do odwiecznych kaukaskich rodowych waśni,fpm,do,prep:gen,przyimek,5,5,12,40,"Nie wydawał się żadnym zagrożeniem, gdyż zarówno do polityki, jak do odwiecznych kaukaskich rodowych waśni odnosił się z pełną wyższości pogardą.",NKJP_1M_3104000000003/morph_2-p/morph_2.81-s,
0,,,,,ale,conj,zdanie,wypowiedzenie,,2,Maschadow mógł go drażnić służbistością i niezrozumieniem dla fantazji,zdanie,mógł,praet:sg:m1:imperf:nagl,formaczas,9,9,21,70,"nie miał pod ręką lepszego oficera, któremu można było powierzyć zbudowanie od podstaw czeczeńskiej armii",zdanie,miał,praet:sg:m1:imperf,formaczas,15,16,34,105,"Maschadow mógł go drażnić służbistością i niezrozumieniem dla fantazji, ale nie miał pod ręką lepszego oficera, któremu można było powierzyć zbudowanie od podstaw czeczeńskiej armii.",NKJP_1M_3104000000003/morph_2-p/morph_2.42-s,
L,drażnić,inf:imperf,formaczas,fwe,i,conj,fno,fw,fwe,2,służbistością,fno,służbistością,subst:sg:inst:f,formarzecz,1,1,4,13,niezrozumieniem dla fantazji,fno,niezrozumieniem,subst:sg:inst:n,formarzecz,3,3,9,28,"Maschadow mógł go drażnić służbistością i niezrozumieniem dla fantazji, ale nie miał pod ręką lepszego oficera, któremu można było powierzyć zbudowanie od podstaw czeczeńskiej armii.",NKJP_1M_3104000000003/morph_2-p/morph_2.42-s,
0,,,,,i,conj,zdanie,wypowiedzenie,,2,Przypomniała sobie niedawną rozmowę na ten temat z Kirchhoffem,zdanie,Przypomniała,praet:sg:f:perf,formaczas,9,9,20,62,zrobiło jej się przykro,zdanie,zrobiło,praet:sg:n:perf,formaczas,4,4,7,23,Przypomniała sobie niedawną rozmowę na ten temat z Kirchhoffem i zrobiło jej się przykro.,NKJP_1M_2004000000312/morph_16-p/morph_16.34-s,
0,,,,,i,conj,zdanie,wypowiedzenie,,2,Eliza wypiła łyk,zdanie,wypiła,praet:sg:f:perf,formaczas,3,3,7,16,"stwierdziła zdegustowana, że kawa jest zwyczajnie zimna",zdanie,stwierdziła,praet:sg:f:perf,formaczas,7,8,17,55,"Eliza wypiła łyk i stwierdziła zdegustowana, że kawa jest zwyczajnie zimna.",NKJP_1M_2004000000312/morph_16-p/morph_16.19-s,
